PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
B9H509,01RBA2409-5,9/25/24,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B9H509
K1 U832,01RBA2409-6,9/25/24,ROB AUTO,2020 HYUNDAI Accent 1.4 GL MT W/O SRS,K1U832
K1 V610,01RBA2409-7,9/25/24,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6MT SHUTTLE BODY W/ FRONT AC,K1V610
E2S669,01RBA2409-8,9/25/24,ROB AUTO,2021 HONDA BR-V 1.5 S CVT,E2S669
MU0739,01RBA2409-9,9/25/24,ROB AUTO,2018 HYUNDAI Elantra 1.6 GL AT,MU0739
B3Y304,01RBA2409-10,9/25/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B3Y304
W0T440,01RBA2409-11,9/25/24,ROB AUTO,2022 MG ZS 1.5 NA 4 AT STYLE,W0T440
X0W121,01RBA2409-12,9/25/24,ROB AUTO,2023 KIA STONIC LX AT,X0W121
B5B504,01RBA2409-13,9/25/24,ROB AUTO,2019 MITSUBISHI XPANDER GLX PLUS 1.5G 2WD AT,B5B504
F0H368,01PSA2211-55,2/20/23,PSB AUTO,2018 NISSAN URVAN NV350 2.5L M/T PREMIUM,F0H368
P2C792,01PSA2211-57,2/23/23,PSB AUTO,2019 TOYOTA HILUX 2.4G 4x2 A/T,P2C792
A1K482,01PSA2302-4,2/8/23,PSB AUTO,2018 TOYOTA VIOS 1.3E GAS M/T,A1K482
P0K169,01PSA2302-5,2/8/23,PSB AUTO,2019 TOYOTA FORTUNER 2.4G 4X2 DSL A/T,P0K169
F0U413,01PSA2302-9,2/8/23,PSB AUTO,2018 NISSAN JUKE 1.6L CVT N-STYLE 3,F0U413
K1B257,01PSA2302-12,2/8/23,PSB AUTO,2019 HYUNDAI H100 2.5 CRDi GL 6MT SHUTTL,K1B257
K1C571,01PSA2302-16,2/8/23,PSB AUTO,2019 HYUNDAI REINA 1.4 GL A/T,K1C571
CS#MR1490,01PSA2302-20,2/8/23,PSB AUTO,2017 HYUNDAI GRAND STAREX 2.5 GL MT (Dsl,CSMR1490
E0A983,01PSA2302-22,2/8/23,PSB AUTO,2017 HONDA MOBILIO 1.5 RS NAVI CVT,E0A983
G1C948,01PSA2302-23,2/8/23,PSB AUTO,2019 SUZUKI VITARA 1.6L GLX A/T,G1C948
VY5563,01PSA2302-24,2/8/23,PSB AUTO,2017 TOYOTA INNOVA 2.8E DSL A/T,VY5563
MU3709,01PSA2302-27,2/8/23,PSB AUTO,2018 HYUNDAI ACCENT SEDAN 1.4 GL AT CVT,MU3709
F1J896,01PSA2302-29,2/8/23,PSB AUTO,2019 NISSAN TERRA 2.5L EL 4X2 A/T,F1J896
P1V116,01PSA2302-32,2/8/23,PSB AUTO,2019 TOYOTA HILUX 4X2 CONQUEST M/T,P1V116
VX0199,01PSA2302-33,2/8/23,PSB AUTO,2017 TOYOTA VIOS 1.3E GAS M/T,VX0199
RK5873,01PSA2302-35,2/8/23,PSB AUTO,2017 MAZDA 3 1.5L SKYACTIV V A/T 4-DOOR,RK5873
K0 N506,01PSA2302-36,2/8/23,PSB AUTO,2019 HYUNDAI KONA 2.0 GLS 6AT 2WD,K0N506
WE3065,01PSA2302-37,2/8/23,PSB AUTO,2018 CHEVROLET SAIL 1.5L DOHC DVVT 4-SPE,WE3065
B5C652,01PSA2302-38,2/8/23,PSB AUTO,2019 MITSUBISHI STRADA GT 2.4D 4WD A/T,B5C652
A9N596,01PSA2302-41,2/8/23,PSB AUTO,2019 TOYOTA VIOS 1.3E GAS A/T,A9N596
F0G935,01PSA2302-45,2/8/23,PSB AUTO,2018 NISSAN URVAN NV350 2.5L 15STR CRDI,F0G935
F3R621,01PSA2302-48,2/8/23,PSB AUTO,2020 NISSAN URVAN NV350 2.5L 15STR CRDI,F3R621
B6T878,01PSA2302-49,2/8/23,PSB AUTO,2019 MITSUBISHI XPANDER GLS 1.5G A/T,B6T878
G1K756,01PSA2302-51,2/8/23,PSB AUTO,2019 SUZUKI ERTIGA GL M/T (BLACK EDITION,G1K756
F1U720,01PSA2302-52,2/8/23,PSB AUTO,2019 NISSAN NP300 NAVARA NCAP 2.5L 4X2 E,F1U720
F2B440,01PSA2302-53,2/8/23,PSB AUTO,2019 NISSAN URVAN NV350 2.5L 15STR CRDI,F2B440
F4H210,01PSA2302-54,2/8/23,PSB AUTO,2021 NISSAN NP300 NAVARA NCAP 2.5L 4X2 E,F4H210
F1O907,01PSA2302-55,2/8/23,PSB AUTO,2019 NISSAN TERRA 2.5L VL 4X4 A/T,F1O907
F2B348,01PSA2302-56,2/8/23,PSB AUTO,2019 NISSAN URVAN NV350 2.5L 15STR CRDI,F2B348
P5A786,01PSA2302-59,2/8/23,PSB AUTO,2020 TOYOTA FORTUNER 2.4G 4X2 DSL A/T,P5A786
P4S141,01PSA2302-61,2/8/23,PSB AUTO,2020 TOYOTA VIOS 1.3J GAS M/T,P4S141
P6U720,01PSA2302-64,2/8/23,PSB AUTO,2020 TOYOTA INNOVA 2.8E DSL A/T,P6U720
S0U440,01PSA2302-65,2/8/23,PSB AUTO,2021 TOYOTA HI-ACE COMMUTER 3.0L DSL M/T,S0U440
A6S193,01PSA2302-67,2/8/23,PSB AUTO,2018 TOYOTA FORTUNER 2.4V 4X2 DSL A/T,A6S193
B2Q225,01PSA2302-70,2/8/23,PSB AUTO,2018 MITSUBISHI MIRAGE GLX 1.2G CVT,B2Q225
F3O507,01PSA2302-73,2/8/23,PSB AUTO,2020 NISSAN URVAN NV350 2.5L 18STR CRDI,F3O507
F3C438,01PSA2302-77,2/8/23,PSB AUTO,2020 NISSAN NP300 NAVARA NCAP 2.5L 4X2 E,F3C438
K1N197,01PSA2302-84,2/9/23,PSB AUTO,2019 HYUNDAI KONA 2.0 GLS 6AT 2WD,K1N197
E2D180,01PSA2302-86,2/9/23,PSB AUTO,2020 HONDA CITY 1.5 SPORT CVT,E2D180
B5R225,01PSA2302-90,2/9/23,PSB AUTO,2019 MITSUBISHI MIRAGE G4 GLX 1.2G MT,B5R225
B2Y573,01PSA2302-92,2/9/23,PSB AUTO,2018 MITSUBISHI L300 EXCEED CC WITH FB B,B2Y573
B4K345,01PSA2302-93,2/9/23,PSB AUTO,2019 MITSUBISHI XPANDER GLS 1.5G A/T (WH,B4K345
K1E636,01PSA2302-95,2/9/23,PSB AUTO,2020 HYUNDAI ACCENT 1.4 GL AT (without S,K1E636
JM8958,01PSA2302-97,2/8/23,PSB AUTO,2019 HINO XZU302L TRUCK CHASSIS 4-WHEELE,JM8958
B8D266,01PSA2302-100,2/8/23,PSB AUTO,2020 MITSUBISHI L300 CC 2.2D M/T WITH FB,B8D266
B3W121,01PSA2302-101,2/8/23,PSB AUTO,2018 MITSUBISHI MIRAGE G4 GLX 1.2G MT,B3W121
B6H276,01PSA2302-107,2/8/23,PSB AUTO,2019 MITSUBISHI XPANDER GLS SPORT 1.5G A,B6H276
A2G058,01PSA2302-108,2/8/23,PSB AUTO,2018 TOYOTA VIOS 1.3E GAS A/T,A2G058
CS# MU0675,01PSA2302-110,2/8/23,PSB AUTO,2018 HYUNDAI ACCENT SEDAN 1.6 CRDi GL 6M,CSMU0675
O0H275,01PSA2302-112,2/8/23,PSB AUTO,2019 MAZDA MX-5 RF 2.0L SKYACTIV M/T (BL,O0H275
F1F444,01PSA2302-113,2/8/23,PSB AUTO,2019 NISSAN TERRA 2.5L EL 4X2 A/T,F1F444
A9S174,01PSA2302-120,2/8/23,PSB AUTO,2019 TOYOTA HI-ACE COMMUTER 3.0L DSL M/T,A9S174
FOB356,01PSA2302-121,2/8/23,PSB AUTO,2018 NISSAN URVAN NV350 2.5L M/T PREMIUM,FOB356
